ma_uc,stt,ma_phan_he,phan_he,ten_uc,actor_chinh,actor_phu,bi_danh,bmt,so_trans,do_phuc_tap,la_tu_dong,pham_vi,trang_thai,nhom_excel,ghi_chu
UC-0996,996,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Khai báo thông tin đã thỏa thuận với chủ thể thông tin cho sản phẩm tùy biến,"CB-TLSP, LĐ-TLSP (Gọi chung là Người dùng)",,,B,4,Trung bình,,,,,
UC-0997,997,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tra cứu thông tin đã khai báo thỏa thuận với chủ thể thông tin cho sản phẩm tùy biến,"CB-TLSP, LĐ-TLSP (Gọi chung là Người dùng)",,,B,3,Đơn giản,,,,,
UC-0998,998,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Xác nhận chủ thể thông tin đồng ý cung cấp thông tin cho sản phẩm tùy biến,"CB-TLSP, LĐ-TLSP (Gọi chung là Người dùng)",,,B,2,Đơn giản,,,,,
UC-0999,999,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Xác nhận chủ thể thông tin từ chối cung cấp thông tin cho sản phẩm tùy biến,"CB-TLSP, LĐ-TLSP (Gọi chung là Người dùng)",,,B,2,Đơn giản,,,,,
UC-1000,1000,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Khai báo thông tin đã thỏa thuận với chủ thể thông tin cho sản phẩm theo yêu cầu,"CB-TLSP, LĐ-TLSP (Gọi chung là Người dùng)",,,B,4,Trung bình,,,,,
UC-1001,1001,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tra cứu thông tin đã khai báo thỏa thuận với chủ thể thông tin cho sản phẩm theo yêu cầu,"CB-TLSP, LĐ-TLSP (Gọi chung là Người dùng)",,,B,3,Đơn giản,,,,,
UC-1002,1002,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Xác nhận chủ thể thông tin đồng ý cung cấp thông tin cho sản phẩm theo yêu cầu,"CB-TLSP, LĐ-TLSP (Gọi chung là Người dùng)",,,B,2,Đơn giản,,,,,
UC-1003,1003,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Xác nhận chủ thể thông tin từ chối cung cấp thông tin cho sản phẩm theo yêu cầu,"CB-TLSP, LĐ-TLSP (Gọi chung là Người dùng)",,,B,2,Đơn giản,,,,,
UC-1004,1004,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tra cứu yêu cầu đăng ký khai thác thông tin báo cáo định kỳ,"CB-TLSP, LĐ-TLSP (gọi chung là Người dùng)",,,B,3,Đơn giản,,,,,
UC-1005,1005,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Kiểm tra yêu cầu đăng ký khai thác báo cáo định kỳ,"CB-TLSP, LĐ-TLSP (gọi chung là Người dùng)",,,B,3,Đơn giản,,,,,
UC-1006,1006,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - R11A - Thông tin quan hệ tín dụng thể nhân,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1007,1007,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - R14 - Thông tin chủ thẻ tín dụng thể nhân,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1008,1008,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - R21 - Thông tin đảm bảo tiền vay thể nhân,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1009,1009,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Báo cáo tổng hợp thông tin tín dụng khách hàng thể nhân,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1010,1010,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - S37 - Cảnh báo khách hàng vay,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1011,1011,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - R10A - Thông tin quan hệ tín dụng pháp nhân,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1012,1012,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - R14 - Thông tin chủ thẻ tín dụng pháp nhân,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1013,1013,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - R20 - Thông tin bảo đảm tiền vay pháp nhân,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1014,1014,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - S10A - Chi tiết về khách hàng vay pháp nhân,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1015,1015,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - XH50 - Sản phẩm xếp hạng tín dụng doanh nghiệp cơ bản.,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1016,1016,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - XH51 - Sản phẩm XHTD Tập đoàn, Tổng Công ty cơ bản.",Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1017,1017,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - XH50K - Sản phẩm XHTD DN cơ bản cho các tổ chức ngoài ngành.,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1018,1018,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - XH51K - Sản phẩm XHTD Tập đoàn, Tổng Công ty cơ bản cho các tổ chức ngoài ngành.",Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1019,1019,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - S40 - Điểm tín dụng của khách hàng.,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1020,1020,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - XH53 - Sản phẩm Bộ chỉ số trung bình ngành (theo phân loại, tính toán của CIC)",Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1021,1021,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - PN.SBVF1 - Báo cáo chi tiết về khách hàng vay pháp nhân,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1022,1022,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - TN.SBVF1 - Báo cáo chi tiết về khách hàng vay thể nhân,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1023,1023,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Báo cáo thông tin doanh nghiệp cơ bản (English version),Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1024,1024,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Báo cáo thông tin doanh nghiệp (English version),Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1025,1025,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Báo cáo thông tin doanh nghiệp toàn diện (English version),Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1026,1026,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - S70 – Báo cáo thông tin về doanh nghiệp nước ngoài.,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1027,1027,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Nhóm báo cáo theo mô hình.,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1028,1028,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Sản phẩm cung cấp danh sách khách hàng tiềm năng.,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1029,1029,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Sản phẩm xếp hạng tín dụng doanh nghiệp chuyên sâu.,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1030,1030,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Sản phẩm XHTD Tập đoàn, Tổng Công ty chuyên sâu.",Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1031,1031,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Sản phẩm chuyên sâu cho Doanh nghiệp tự đăng ký XHTD,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1032,1032,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Sản phẩm chuyên sâu cho Tập đoàn, Tổng Công ty tự đăng ký",Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1033,1033,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - XH50S - Sản phẩm cơ bản cho Doanh nghiệp tự đăng ký XHTD.,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1034,1034,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - XH51S - Sản phẩm cơ bản cho Tập đoàn, Tổng Công ty tự đăng ký XHTD. XHTD",Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1035,1035,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Sản phẩm XHTD DN chuyên sâu cho các tổ chức ngoài ngành.,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1036,1036,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Sản phẩm XHTD Tập đoàn, Tổng Công ty chuyên sâu cho các tổ chức ngoài ngành.",Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1037,1037,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Sản phẩm bộ chỉ số trung bình ngành theo yêu cầu của đơn vị hỏi tin - XH53A,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1038,1038,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Kết quả xếp hạng và các chỉ số liên quan của doanh nghiệp,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1039,1039,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Kết quả chấm điểm thể nhân và các chỉ số liên quan.,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1040,1040,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Báo cáo về tập đoàn, Tổng công ty, doanh nghiệp và cá nhân có liên quan.",Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1041,1041,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Thông tin về dư nợ theo loại hình TCTD,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1042,1042,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Thông tin về dư nợ theo địa bàn,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1043,1043,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Thông tin về dư nợ cho vay theo đối tượng vay,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1044,1044,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Thông tin về dư nợ cho vay theo nhóm nợ,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1045,1045,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Thông tin về Tăng trưởng dư nợ và biến động nợ xấu của thời điểm này so với thời điểm khác,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1046,1046,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - BC cung cấp cho Công an, tòa án, Viện KSND....",Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1047,1047,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - BC cung cấp cho các bộ, ngành khác",Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1048,1048,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - R18 - Danh sách khách hàng có nhóm nợ cao hơn ở TCTD khác,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1049,1049,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - R19 - Danh sách khách hàng thay đổi nhóm nợ cao nhất.,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1050,1050,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - S36 - Cảnh báo khách hàng có nợ xấu tại TCTD khác,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1051,1051,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - S39 - Cảnh báo khách hàng phát sinh nợ cần chú ý,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1052,1052,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Báo cáo quản trị rủi ro về tình hình hoạt động của doanh nghiệp theo địa bàn, ngành, TCTD, ...",Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1053,1053,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Báo cáo tổng hợp về khách hàng thể nhân,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1054,1054,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Danh sách TĐ tư nhân và các đơn vị thành viên,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1055,1055,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - Báo cáo phân tích ngành kinh tế chuyên sâu,Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1056,1056,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Tổng hợp và kiểm tra dữ liệu tạo lập sản phẩm - R52 - Tin tức, bài viết phân tích cảnh báo tín dụng",Hệ thống,,,B,8,Phức tạp,1,,,,
UC-1057,1057,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập thời gian tổng hợp dữ liệu - theo từng loại sản phẩm,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,4,Trung bình,,,,,
UC-1058,1058,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Tra cứu thông tin về thời gian tổng hợp dữ liệu,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,3,Đơn giản,,,,,
UC-1059,1059,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - R11A - Thông tin quan hệ tín dụng thể nhân,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1060,1060,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - R14 - Thông tin chủ thẻ tín dụng thể nhân,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1061,1061,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - R21 - Thông tin đảm bảo tiền vay thể nhân,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1062,1062,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - Báo cáo tổng hợp thông tin tín dụng khách hàng thể nhân,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1063,1063,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - S37 - Cảnh báo khách hàng vay,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1064,1064,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - R10A - Thông tin quan hệ tín dụng pháp nhân,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1065,1065,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - R14 - Thông tin chủ thẻ tín dụng pháp nhân,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1066,1066,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - R20 - Thông tin bảo đảm tiền vay pháp nhân,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1067,1067,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - S10A - Chi tiết về khách hàng vay pháp nhân,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1068,1068,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - XH50 - Sản phẩm xếp hạng tín dụng doanh nghiệp cơ bản.,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1069,1069,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - XH51 - Sản phẩm XHTD Tập đoàn, Tổng Công ty cơ bản.","QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1070,1070,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - XH50K - Sản phẩm XHTD DN cơ bản cho các tổ chức ngoài ngành.,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1071,1071,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - XH51K - Sản phẩm XHTD Tập đoàn, Tổng Công ty cơ bản cho các tổ chức ngoài ngành.","QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1072,1072,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - S40 - Điểm tín dụng của khách hàng.,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1073,1073,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - XH53 - Sản phẩm Bộ chỉ số trung bình ngành (theo phân loại, tính toán của CIC)","QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1074,1074,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - PN.SBVF1 - Báo cáo chi tiết về khách hàng vay pháp nhân,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1075,1075,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - TN.SBVF1 - Báo cáo chi tiết về khách hàng vay thể nhân,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1076,1076,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - Báo cáo thông tin doanh nghiệp cơ bản (English version),"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1077,1077,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - Báo cáo thông tin doanh nghiệp (English version),"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1078,1078,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - Báo cáo thông tin doanh nghiệp toàn diện (English version),"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1079,1079,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - S70 – Báo cáo thông tin về doanh nghiệp nước ngoài.,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1080,1080,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - Nhóm báo cáo theo mô hình.,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1081,1081,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - Sản phẩm cung cấp danh sách khách hàng tiềm năng.,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1082,1082,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - Sản phẩm xếp hạng tín dụng doanh nghiệp chuyên sâu.,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1083,1083,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - Sản phẩm XHTD Tập đoàn, Tổng Công ty chuyên sâu.","QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1084,1084,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - Sản phẩm chuyên sâu cho Doanh nghiệp tự đăng ký XHTD,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1085,1085,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - Sản phẩm chuyên sâu cho Tập đoàn, Tổng Công ty tự đăng ký","QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1086,1086,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - XH50S - Sản phẩm cơ bản cho Doanh nghiệp tự đăng ký XHTD.,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1087,1087,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - XH51S - Sản phẩm cơ bản cho Tập đoàn, Tổng Công ty tự đăng ký XHTD. XHTD","QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1088,1088,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - Sản phẩm XHTD DN chuyên sâu cho các tổ chức ngoài ngành.,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1089,1089,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,"Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - Sản phẩm XHTD Tập đoàn, Tổng Công ty chuyên sâu cho các tổ chức ngoài ngành.","QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1090,1090,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - Sản phẩm bộ chỉ số trung bình ngành theo yêu cầu của đơn vị hỏi tin - XH53A,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
UC-1091,1091,QLSP,QUẢN LÝ TẠO LẬP SẢN PHẨM,Thiết lập bộ dữ liệu cần tổng hợp theo sản phẩm - Kết quả xếp hạng và các chỉ số liên quan của doanh nghiệp,"QTHT, CB-TLSP, CB-KSDL, LĐP-KSDL (gọi chung là Người dùng)",,,B,5,Trung bình,,,,,
